,country,cases
0,AD,64.0
1,AE,487.0
2,AF,80005.0
3,AG,21.0
4,AI,1.0
5,AL,2467.0
6,AM,6757.0
7,AN,81.0
8,AO,195512.0
9,AR,64856.0
10,AS,23.0
11,AT,4172.0
12,AU,2747.0
13,AZ,10694.0
14,BA,8638.0
15,BB,50.0
16,BD,758008.0
17,BE,5035.0
18,BF,23386.0
19,BG,8302.0
20,BH,954.0
21,BI,36206.0
22,BJ,28194.0
23,BM,2.0
24,BN,1181.0
25,BO,82691.0
26,BR,440609.0
27,BS,434.0
28,BT,4851.0
29,BW,33619.0
30,BY,7390.0
31,BZ,625.0
32,CA,16430.0
33,CD,603095.0
34,CF,29310.0
35,CG,22415.0
36,CH,1608.0
37,CI,141920.0
38,CK,82.0
39,CL,17783.0
40,CM,110183.0
41,CN,4065174.0
42,CO,75742.0
43,CR,5223.0
44,CU,8035.0
45,CV,1362.0
46,CY,122.0
47,CZ,5410.0
48,DE,26844.0
49,DJ,18083.0
50,DK,1859.0
51,DM,33.0
52,DO,30765.0
53,DZ,88994.0
54,EC,25059.0
55,EE,2765.0
56,EG,66019.0
57,ER,6462.0
58,ES,21433.0
59,ET,405717.0
60,FI,2122.0
61,FJ,1093.0
62,FM,370.0
63,FR,26833.0
64,GA,10987.0
65,GB,15040.0
66,GD,19.0
67,GE,18789.0
68,GH,84939.0
69,GM,10752.0
70,GN,60729.0
71,GQ,1675.0
72,GR,2353.0
73,GT,28228.0
74,GU,312.0
75,GW,7881.0
76,GY,4016.0
77,HK,19070.0
78,HN,30880.0
79,HR,7105.0
80,HT,85193.0
81,HU,7241.0
82,ID,1129015.0
83,IE,1310.0
84,IL,2022.0
85,IN,3966169.0
86,IQ,68422.0
87,IR,75456.0
88,IS,33.0
89,IT,17215.0
90,JM,1059.0
91,JO,1587.0
92,JP,160564.0
93,KE,431523.0
94,KG,20953.0
95,KH,218062.0
96,KI,1110.0
97,KM,834.0
98,KN,18.0
99,KP,181042.0
100,KR,152203.0
101,KW,2985.0
102,KY,12.0
103,KZ,78551.0
104,LA,27066.0
105,LB,2403.0
106,LC,147.0
107,LK,56939.0
108,LR,17864.0
109,LS,34890.0
110,LT,12835.0
111,LU,203.0
112,LV,8042.0
113,LY,7168.0
114,MA,182540.0
115,MC,2.0
116,MD,14143.0
117,ME,227.0
118,MG,129541.0
119,MH,490.0
120,MK,2771.0
121,ML,39568.0
122,MM,330382.0
123,MN,21362.0
124,MO,2173.0
125,MP,328.0
126,MR,12164.0
127,MS,4.0
128,MT,76.0
129,MU,1170.0
130,MV,1040.0
131,MW,103121.0
132,MX,141318.0
133,MY,147832.0
134,MZ,32169.0
135,NC,260.0
136,NE,32095.0
137,NG,331568.0
138,NI,20590.0
139,NL,3979.0
140,NO,733.0
141,NP,157550.0
142,NR,21.0
143,NU,2.0
144,NZ,1158.0
145,OM,2076.0
146,PA,11188.0
147,PE,237098.0
148,PF,381.0
149,PG,10206.0
150,PH,490040.0
151,PK,391059.0
152,PL,47724.0
153,PR,1159.0
154,PS,113.0
155,PT,23088.0
156,PW,80.0
157,PY,14950.0
158,QA,1097.0
159,RO,155697.0
160,RS,4017.0
161,RU,239307.0
162,RW,36030.0
163,SA,18443.0
164,SB,1551.0
165,SC,102.0
166,SD,134784.0
167,SE,1507.0
168,SG,6180.0
169,SI,1978.0
170,SK,4002.0
171,SL,43487.0
172,SM,2.0
173,SN,86444.0
174,SO,65754.0
175,SR,422.0
176,ST,516.0
177,SV,12546.0
178,SY,18185.0
179,SZ,22506.0
180,TC,15.0
181,TD,18131.0
182,TG,16527.0
183,TH,316962.0
184,TJ,8992.0
185,TK,74.0
186,TL,6941.0
187,TM,14305.0
188,TN,10982.0
189,TO,170.0
190,TR,30531.0
191,TT,1448.0
192,TV,90.0
193,TZ,332950.0
194,UA,138255.0
195,UG,263119.0
196,US,82821.0
197,UY,5141.0
198,UZ,50812.0
199,VC,49.0
200,VE,28860.0
201,VG,4.0
202,VI,7.0
203,VN,709695.0
204,VU,568.0
205,WF,27.0
206,WS,152.0
207,YE,53925.0
208,YU,12702.0
209,ZA,900349.0
210,ZM,129507.0
211,ZW,86939.0
